x_in,y_in,z_in,x_out,y_out,z_out
3.259860,112.728460,0.000000,-1.013478,123.069179,0.000000
2.251340,112.796439,0.000000,-2.084135,123.392216,0.000000
1.246977,112.909126,0.000000,-3.139011,123.763265,0.000000
0.248207,113.064671,0.000000,-4.180291,124.171062,0.000000
-0.743197,113.261177,0.000000,-5.211306,124.604397,0.000000
-1.726126,113.496817,0.000000,-6.236042,125.052357,0.000000
-2.699636,113.768355,0.000000,-7.259026,125.504322,0.000000
-3.663888,114.071311,0.000000,-8.284454,125.950673,0.000000
-4.619327,114.401082,0.000000,-9.313424,126.388676,0.000000
-5.566791,114.753122,0.000000,-10.345789,126.818675,0.000000
-6.507459,115.123005,0.000000,-11.381302,127.241008,0.000000
-7.442707,115.506412,0.000000,-12.419770,127.656049,0.000000
-8.374081,115.899140,0.000000,-13.460961,128.064167,0.000000
-9.303252,116.297082,0.000000,-14.504716,128.465772,0.000000
-10.231925,116.696180,0.000000,-15.550774,128.861239,0.000000
-11.161818,117.092397,0.000000,-16.599249,129.250471,0.000000
-12.094633,117.481715,0.000000,-17.650419,129.632241,0.000000
-13.031238,117.861718,0.000000,-18.704752,130.005247,0.000000
-13.971534,118.232579,0.000000,-19.762608,130.368136,0.000000
-14.915220,118.594644,0.000000,-20.824305,130.719527,0.000000
-15.862118,118.948313,0.000000,-21.890235,131.058039,0.000000
-16.811946,119.293948,0.000000,-22.960526,131.382182,0.000000
-17.764546,119.631959,0.000000,-24.035592,131.690533,0.000000
-18.719656,119.962722,0.000000,-25.115337,131.981490,0.000000
-19.677137,120.286657,0.000000,-26.200170,132.253570,0.000000
-20.636744,120.604148,0.000000,-27.289783,132.505080,0.000000
-21.598349,120.915620,0.000000,-28.384412,132.734443,0.000000
-22.561733,121.221469,0.000000,-29.484009,132.937899,0.000000
-23.526775,121.522123,0.000000,-30.589567,133.106014,0.000000
-24.493597,121.816913,0.000000,-31.701053,133.228292,0.000000
-25.465272,122.095181,0.000000,-32.817143,133.294541,0.000000
-26.445649,122.340636,0.000000,-33.935188,133.295417,0.000000
-27.436895,122.536871,0.000000,-35.050880,133.223117,0.000000
-28.439326,122.667434,0.000000,-36.159461,133.070000,0.000000
-29.449278,122.703500,0.000000,-37.250822,132.824131,0.000000
-30.453924,122.603782,0.000000,-38.310962,132.468964,0.000000
-31.427520,122.328589,0.000000,-39.318345,131.983890,0.000000
-32.297902,121.818195,0.000000,-40.238962,131.351837,0.000000
-32.877677,121.002430,0.000000,-41.051491,130.584784,0.000000
-33.104158,120.018579,0.000000,-41.751940,129.714356,0.000000
-33.124473,119.007144,0.000000,-42.347822,128.767538,0.000000
-33.007308,118.003965,0.000000,-42.848987,127.768521,0.000000
-32.772899,117.021251,0.000000,-43.268468,126.731317,0.000000
-32.445252,116.065699,0.000000,-43.616719,125.668282,0.000000
-32.048012,115.135841,0.000000,-43.903118,124.587425,0.000000
-31.603443,114.228276,0.000000,-44.133180,123.492783,0.000000
-31.130220,113.334938,0.000000,-44.307770,122.388621,0.000000
-30.645613,112.447245,0.000000,-44.428525,121.276771,0.000000
-30.165181,111.558589,0.000000,-44.497455,120.160756,0.000000
-29.685802,110.668569,0.000000,-44.517250,119.042707,0.000000
-29.197285,109.783932,0.000000,-44.490963,117.924690,0.000000
-28.689492,108.910243,0.000000,-44.421939,116.808668,0.000000
-28.162873,108.047255,0.000000,-44.313628,115.695525,0.000000
-27.627263,107.190070,0.000000,-44.169208,114.586580,0.000000
-27.091855,106.332611,0.000000,-43.983692,113.483565,0.000000
-26.565998,105.469328,0.000000,-43.744177,112.391134,0.000000
-26.051942,104.599022,0.000000,-43.437183,111.315959,0.000000
-25.534228,103.730849,0.000000,-43.049835,110.267138,0.000000
-24.994822,102.876156,0.000000,-42.582961,109.251140,0.000000
-24.416252,102.047594,0.000000,-42.053002,108.266380,0.000000
-23.784185,101.258900,0.000000,-41.476013,107.308232,0.000000
-23.094909,100.519697,0.000000,-40.864969,106.371655,0.000000
-22.348369,99.838413,0.000000,-40.224011,105.455270,0.000000
-21.545326,99.225011,0.000000,-39.555133,104.559064,0.000000
-20.687832,98.690580,0.000000,-38.860303,103.682813,0.000000
-19.780081,98.246613,0.000000,-38.141447,102.826128,0.000000
-18.831834,97.897764,0.000000,-37.400481,101.988533,0.000000
-17.854708,97.638999,0.000000,-36.639151,101.169316,0.000000
-16.859066,97.464950,0.000000,-35.859269,100.367829,0.000000
-15.852835,97.370808,0.000000,-35.062375,99.583143,0.000000
-14.842104,97.352766,0.000000,-34.250118,98.814462,0.000000
-13.832998,97.403620,0.000000,-33.423877,98.060755,0.000000
-12.828139,97.511568,0.000000,-32.585077,97.321072,0.000000
-11.828892,97.663928,0.000000,-31.734769,96.594677,0.000000
-10.835098,97.847931,0.000000,-30.872188,95.882817,0.000000
-9.844881,98.051189,0.000000,-29.996070,95.187822,0.000000
-8.856501,98.262744,0.000000,-29.105012,94.511962,0.000000
-7.869276,98.479760,0.000000,-28.197992,93.857830,0.000000
-6.883349,98.702520,0.000000,-27.273900,93.227962,0.000000
-5.898801,98.931334,0.000000,-26.332001,92.625138,0.000000
-4.915754,99.166506,0.000000,-25.371668,92.052140,0.000000
-3.934331,99.408342,0.000000,-24.392584,91.511835,0.000000
-2.954602,99.656948,0.000000,-23.394687,91.007023,0.000000
-1.976534,99.911990,0.000000,-22.378425,90.540189,0.000000
-1.000061,100.173084,0.000000,-21.344580,90.113785,0.000000
-0.025120,100.439842,0.000000,-20.294021,89.730418,0.000000
0.948360,100.711877,0.000000,-19.227878,89.392888,0.000000
1.920463,100.988805,0.000000,-18.147519,89.104125,0.000000
2.891269,101.270238,0.000000,-17.054634,88.867154,0.000000
3.860872,101.555793,0.000000,-15.951015,88.686196,0.000000
4.829368,101.845085,0.000000,-14.839067,88.568007,0.000000
5.796853,102.137731,0.000000,-13.721871,88.519898,0.000000
6.763438,102.433351,0.000000,-12.604055,88.547887,0.000000
7.729223,102.731560,0.000000,-11.490064,88.644345,0.000000
8.694327,103.031982,0.000000,-10.381706,88.794076,0.000000
9.658853,103.334234,0.000000,-9.279249,88.982197,0.000000
10.622930,103.637942,0.000000,-8.181803,89.197053,0.000000
11.586659,103.942723,0.000000,-7.088507,89.432474,0.000000
12.550175,104.248204,0.000000,-5.998565,89.682863,0.000000
13.513582,104.554004,0.000000,-4.910799,89.942690,0.000000
14.477013,104.859751,0.000000,-3.824237,90.207341,0.000000
15.440575,105.165065,0.000000,-2.738514,90.475470,0.000000
16.404397,105.469577,0.000000,-1.653491,90.746424,0.000000
17.368523,105.773110,0.000000,-0.569026,91.019550,0.000000
18.332929,106.075765,0.000000,0.514946,91.294779,0.000000
19.297570,106.377663,0.000000,1.597904,91.573905,0.000000
20.262410,106.678926,0.000000,2.679280,91.859125,0.000000
21.227410,106.979674,0.000000,3.758433,92.152619,0.000000
22.192533,107.280031,0.000000,4.834686,92.456566,0.000000
23.157740,107.580116,0.000000,5.907290,92.773127,0.000000
24.122994,107.880051,0.000000,6.975423,93.104451,0.000000
25.088256,108.179958,0.000000,8.038293,93.452272,0.000000
26.053491,108.479959,0.000000,9.096170,93.815002,0.000000
27.018655,108.780173,0.000000,10.149993,94.189386,0.000000
27.983720,109.080725,0.000000,11.200787,94.572183,0.000000
28.948635,109.381733,0.000000,12.249674,94.960191,0.000000
29.913379,109.683324,0.000000,13.297814,95.350225,0.000000
30.877890,109.985612,0.000000,14.346362,95.739115,0.000000
31.842158,110.288728,0.000000,15.396123,96.124762,0.000000
32.806110,110.592785,0.000000,16.447161,96.506859,0.000000
33.769746,110.897915,0.000000,17.499537,96.885302,0.000000
34.732982,111.204229,0.000000,18.553254,97.259964,0.000000
35.695823,111.511861,0.000000,19.608352,97.630734,0.000000
36.658182,111.820922,0.000000,20.664850,97.997493,0.000000
37.620086,112.131428,0.000000,21.722767,98.360126,0.000000
38.582139,112.441428,0.000000,22.782136,98.718519,0.000000
39.545483,112.747340,0.000000,23.842959,99.072552,0.000000
40.511264,113.045544,0.000000,24.905274,99.422118,0.000000
41.480430,113.332396,0.000000,25.969076,99.767095,0.000000
42.453926,113.604313,0.000000,27.034400,100.107379,0.000000
43.432365,113.857718,0.000000,28.101195,100.443012,0.000000
44.416730,114.088030,0.000000,29.169182,100.774866,0.000000
45.407778,114.287138,0.000000,30.237986,101.104063,0.000000
46.406048,114.445880,0.000000,31.307264,101.431730,0.000000
47.410925,114.554331,0.000000,32.376661,101.758992,0.000000
48.420444,114.601881,0.000000,33.445844,102.086979,0.000000
49.430647,114.577582,0.000000,34.514444,102.416814,0.000000
50.435515,114.471603,0.000000,35.582139,102.749635,0.000000
51.428444,114.283037,0.000000,36.648512,103.086561,0.000000
52.403220,114.016835,0.000000,37.713253,103.428746,0.000000
53.355523,113.677847,0.000000,38.775865,103.777296,0.000000
54.280548,113.271130,0.000000,39.836131,104.133090,0.000000
55.175363,112.800859,0.000000,40.895619,104.491007,0.000000
56.036152,112.271374,0.000000,41.957940,104.840437,0.000000
56.859426,111.684981,0.000000,43.026485,105.170477,0.000000
57.637830,111.039926,0.000000,44.103704,105.470065,0.000000
58.360863,110.334275,0.000000,45.191876,105.728436,0.000000
59.017230,109.565540,0.000000,46.290349,105.934859,0.000000
59.592010,108.734782,0.000000,47.400314,106.077411,0.000000
60.071454,107.845612,0.000000,48.519006,106.115428,0.000000
60.459317,106.912258,0.000000,49.627029,105.981837,0.000000
60.773651,105.951689,0.000000,50.676057,105.603780,0.000000
61.033926,104.974725,0.000000,51.599925,104.974975,0.000000
61.257602,103.988970,0.000000,52.370730,104.165071,0.000000
61.452795,102.997417,0.000000,52.973966,103.224165,0.000000
61.624101,102.001338,0.000000,53.402495,102.192651,0.000000
61.776379,101.002210,0.000000,53.683482,101.110815,0.000000
61.914741,100.000985,0.000000,53.857635,100.005969,0.000000
62.043932,98.998524,0.000000,53.966148,98.892348,0.000000
62.164007,97.994813,0.000000,54.037082,97.776393,0.000000
62.272028,96.989792,0.000000,54.068893,96.658575,0.000000
62.365005,95.983259,0.000000,54.055222,95.540513,0.000000
62.439873,94.975204,0.000000,53.989979,94.424301,0.000000
62.493466,93.965872,0.000000,53.867638,93.312744,0.000000
62.522524,92.955440,0.000000,53.684465,92.209741,0.000000
62.523656,91.944759,0.000000,53.441419,91.117974,0.000000
62.493374,90.934363,0.000000,53.140716,90.040870,0.000000
62.428131,89.925849,0.000000,52.783901,88.981016,0.000000
62.324323,88.920384,0.000000,52.371999,87.941120,0.000000
62.178475,87.920327,0.000000,51.906293,86.924684,0.000000
61.987276,86.927894,0.000000,51.391392,85.931939,0.000000
61.749850,85.945435,0.000000,50.834948,84.961952,0.000000
61.468727,84.974675,0.000000,50.244314,84.012379,0.000000
61.146626,84.016583,0.000000,49.626521,83.080132,0.000000
60.786369,83.072290,0.000000,48.988285,82.161823,0.000000
60.390528,82.142225,0.000000,48.334472,81.254487,0.000000
59.961697,81.226978,0.000000,47.668667,80.355943,0.000000
59.502187,80.326663,0.000000,46.994233,79.463819,0.000000
59.014250,79.441469,0.000000,46.314502,78.575736,0.000000
58.499891,78.571319,0.000000,45.632680,77.689260,0.000000
57.961005,77.716154,0.000000,44.950530,76.803046,0.000000
57.399287,76.875783,0.000000,44.268077,75.917069,0.000000
56.816317,76.050032,0.000000,43.585241,75.031388,0.000000
56.213645,75.238599,0.000000,42.901943,74.146060,0.000000
55.594191,74.439960,0.000000,42.218109,73.261149,0.000000
54.961792,73.651495,0.000000,41.533660,72.376712,0.000000
54.320316,72.870396,0.000000,40.848532,71.492798,0.000000
53.673560,72.093666,0.000000,40.162735,70.609404,0.000000
53.024779,71.318557,0.000000,39.476300,69.726505,0.000000
52.374888,70.544425,0.000000,38.789257,68.844080,0.000000
51.723906,69.771156,0.000000,38.101637,67.962103,0.000000
51.071955,68.998761,0.000000,37.413472,67.080553,0.000000
50.419044,68.227118,0.000000,36.724791,66.199404,0.000000
49.765299,67.456242,0.000000,36.035626,65.318635,0.000000
49.110730,66.686013,0.000000,35.346006,64.438220,0.000000
48.455449,65.916433,0.000000,34.655965,63.558138,0.000000
47.799483,65.147403,0.000000,33.965530,62.678362,0.000000
47.142925,64.378903,0.000000,33.274734,61.798872,0.000000
